,speed_score,unidir_ahv_score,bidir_ahv_score,theta_score,hd_score,grid_score,speed_cell,unidir_ahv_cell,bidir_ahv_cell,theta_cell,hd_cell,grid_cell
92,-0.024197582740248517,0.0370203974167573,-0.05793655653233535,14.251381090141484,0.8857258437749216,-0.14258779037779326,0.0,False,0.0,1.0,1.0,0.0
93,0.06607289943619372,0.052777717667443436,0.008140124443495482,5.268649112068621,0.7994648960626202,-0.22287486127499265,0.0,False,0.0,1.0,1.0,0.0
94,0.026800195517825344,0.05128486205403472,0.0028123814869302328,28.166678001310128,0.5889633690842594,0.5358401126584365,0.0,False,0.0,1.0,1.0,1.0
95,0.09278292604992508,-0.005071304259594897,-0.0014404838506720276,11.342044161172733,0.6856649417311458,0.5920307476570957,1.0,False,0.0,1.0,1.0,1.0
96,-0.036944227852366035,0.02732804322704523,0.0014635293443312012,0.9271631184959118,0.1562112961161507,-0.08394715524539181,0.0,False,0.0,0.0,0.0,0.0
97,-0.10917263830217674,0.007391825571992755,0.01779817234663384,6.709215457923462,0.13546595573788486,-0.10019789251198864,0.0,False,0.0,1.0,0.0,0.0
100,0.026979008820775655,0.0380665520872027,0.0019599537601603352,17.775137232219084,0.5561653126582362,0.7277601900172008,0.0,False,0.0,1.0,1.0,1.0
101,-0.0022355506679659198,0.004907215138653308,-0.004053569865685419,11.449140836619625,0.6309770761837551,0.9194792577902544,0.0,False,0.0,1.0,1.0,1.0
102,0.30803045807668444,-0.18599514231607864,0.05037488116403775,7.916139912873564,0.05446517312213699,-0.2126066069238252,1.0,True,0.0,1.0,0.0,0.0
103,0.1141483537848514,-0.02845598852512495,-0.016561265360305968,8.560651130941821,0.32976053943479594,-0.14974854345325422,1.0,False,0.0,1.0,1.0,0.0
104,0.1129617300295627,0.06277301588482506,0.016119493080280857,3.1018267930451966,0.7637976037210241,0.07417707829028032,1.0,True,0.0,0.0,1.0,0.0
105,-0.01711784740509083,0.014746054055864578,-0.0272251712296806,14.43494836521095,0.5010979040013885,0.7774685600623714,0.0,False,0.0,1.0,1.0,1.0
106,0.21953559899321973,-0.05078594437326156,0.05182357565059837,17.899845494478335,0.7940429707011364,-0.2345781896908584,1.0,False,0.0,1.0,1.0,0.0
107,0.09763886142678924,-0.05107910113679425,0.023135569480018884,14.843141524724548,0.5879861228618725,0.047884942341307024,1.0,False,0.0,1.0,1.0,0.0
108,0.012066311341152556,-0.0075458837900237155,0.015949607654174146,9.182274385922664,0.7417029466632867,0.1229715718275216,0.0,False,0.0,1.0,1.0,0.0
109,-0.008268861113047678,0.054262078042462684,-0.006629960185659605,7.241335913093616,0.6608692832023056,0.5472730117248492,0.0,False,0.0,1.0,1.0,1.0
110,-0.0687281393936345,-0.004280058428017878,-0.06903236649346457,17.15149201159386,0.7990831030221006,-0.08306765487722162,0.0,False,0.0,1.0,1.0,0.0
111,0.04420025367992678,-0.057513619121303934,0.10603257431109146,2.402862896435002,0.7218818111386281,-0.1316704403138124,0.0,True,1.0,0.0,1.0,0.0
112,0.029455032093262223,-0.0049656545362878465,0.01803058620286773,11.740425821888225,0.4691959929442585,0.0,0.0,False,0.0,1.0,1.0,0.0
114,0.1252912475348068,-0.029707852647236608,0.0071622244012951985,6.581264773903703,0.10994785805893972,0.0,1.0,False,0.0,1.0,0.0,0.0
115,0.0962416476239554,-0.041465943549187326,-0.01803182015188555,16.984586880889935,0.6259487581174925,0.0,1.0,False,0.0,1.0,1.0,0.0
116,0.038072968800165634,-0.02121708208530204,-0.06889482702060135,27.83886268315425,0.7210687744412463,-0.13586579876213636,0.0,False,0.0,1.0,1.0,0.0
117,-0.04274519536925973,-0.014497029245117848,-0.001193520106773026,21.64316847314475,0.6682706253928983,0.098961607589507,0.0,False,0.0,1.0,1.0,0.0
118,0.058092118009532276,0.005608904548820353,0.01413828051500284,19.50233926839657,0.7254099924772635,-0.15865924832421058,0.0,False,0.0,1.0,1.0,0.0
119,0.03467830497958792,-0.043275515173968535,-0.023356107408829232,12.22188786145783,0.26181132118646616,0.5108876657650933,0.0,False,0.0,1.0,0.0,1.0
120,0.009937071290706652,0.018443676736177462,0.018078004073302626,1.80314676303655,0.12139395184667445,-0.1838241558607111,0.0,False,0.0,0.0,0.0,0.0
121,-0.021282021287514486,-0.06603805334702179,0.06335067572488243,4.049099463665758,0.8317567695765397,-0.09008417304277973,0.0,True,1.0,0.0,1.0,0.0
122,0.07040219068522435,0.02896922412688228,0.008468639702015574,13.82571874651578,0.6937858286417444,0.5968716754926274,0.0,False,0.0,1.0,1.0,1.0
123,-0.020566406371058426,-0.013621302418412784,0.024179316862589943,12.35926643023951,0.6272208658924021,0.0,0.0,False,0.0,1.0,1.0,0.0
124,0.017452707514687662,0.04097423846379933,0.03245853490576063,10.965671837707882,0.5100501036834465,-0.05239798689847936,0.0,False,0.0,1.0,1.0,0.0
125,-0.030865161752987688,-0.03053417161115295,-0.029097306683057038,22.783877289905906,0.4834646234090345,0.4237219983819994,0.0,False,0.0,1.0,1.0,1.0
126,0.02481236749548333,0.006984092660248251,0.046817083710254566,7.9707730588055075,0.8234590759083729,-0.0725686215078476,0.0,False,0.0,1.0,1.0,0.0
127,0.06807093320131084,0.0007707797364667463,0.01935165315377459,1.9409903529752144,0.0949951983728152,0.7769594290596268,0.0,False,0.0,0.0,0.0,1.0
128,0.05193280509593995,0.06180506111198088,0.04664740068612068,4.217372165353638,0.7478405031560285,0.014881079868713896,0.0,True,0.0,0.0,1.0,0.0
129,0.02844929441104238,0.0774767041681307,0.03985148276672583,9.894930059233337,0.1814370996666705,0.22001728391655595,0.0,True,0.0,1.0,0.0,0.0
130,0.013034500571362346,-0.040812116742612384,0.02697805082815283,3.1038580716611137,0.7857869734806859,0.04959781734323706,0.0,False,0.0,0.0,1.0,0.0
131,-0.0040923311229380185,-0.02455088665084909,0.004706072457350813,2.9088181412772105,0.7586635795951263,0.2860979794221462,0.0,False,0.0,0.0,1.0,0.0
132,0.05018197717721649,0.012931838870016091,0.013740128191044223,24.64478067315929,0.617080084232407,0.0,0.0,False,0.0,1.0,1.0,0.0
133,0.025285771701344897,-0.017148060170143958,0.009125800322754264,2.770041712336897,0.15065785406403687,0.6299672798184445,0.0,False,0.0,0.0,0.0,1.0
134,2.9027826593664587e-05,-0.006579431398832878,-0.0012663210301453467,12.992872603802994,0.3711436349096829,0.8983878630671369,0.0,False,0.0,1.0,1.0,1.0
135,0.07772928973801127,-0.016492547260249825,0.002223123357789312,20.510103826479718,0.6163934692302038,-0.11117635886118817,0.0,False,0.0,1.0,1.0,0.0
136,0.01542971474531115,-0.01332447371379378,-0.03015361961484678,13.773117591563905,0.4914004047289986,-0.2529298966031023,0.0,False,0.0,1.0,1.0,0.0
137,0.12989362939687865,0.027986362169701292,0.00021972484727621482,11.560426838902133,0.046042341186414495,0.02573161211693584,1.0,False,0.0,1.0,0.0,0.0
138,-0.08966430881186452,0.01359884918304336,-0.026890994396439792,11.200742500659942,0.7769439606709285,0.0,0.0,False,0.0,1.0,1.0,0.0
139,0.04594187339223533,0.03241579992372267,0.026107275839634517,10.852742955441434,0.4530293655169129,0.30576345823186496,0.0,False,0.0,1.0,1.0,0.0
140,0.004307418902837987,-0.0007652290674293143,0.032095182738605975,9.107621599036204,0.327892469207411,0.007860243591488292,0.0,False,0.0,1.0,1.0,0.0
141,0.04498044898065359,0.009951785265596095,0.007591896928498666,6.759310448504452,0.8998959009599777,0.028201386136810218,0.0,False,0.0,1.0,1.0,0.0
142,-0.02436885245125133,-0.0028560289957733393,-0.0065402014270873115,13.166228976634855,0.8892167966107097,0.030284152881274663,0.0,False,0.0,1.0,1.0,0.0
143,0.06403638203049332,-0.0742129076737591,-0.027907366233136686,7.307251511047766,0.7711847114318514,0.0,0.0,True,0.0,1.0,1.0,0.0
144,-0.043152202882846304,0.027931152956002358,0.03680756414284999,10.769809839907744,0.35339337370986945,0.18815722897661605,0.0,False,0.0,1.0,1.0,0.0
145,0.08987431550269975,-0.020856417385613724,-0.05801933930728991,3.362601206422513,0.6582002442285445,-0.20549620179511136,1.0,False,0.0,0.0,1.0,0.0
146,0.04155032204581853,-0.0065432064939031824,0.05128798587157973,9.238836524574717,0.35075604646260355,-0.04182476632925032,0.0,False,0.0,1.0,1.0,0.0
147,0.0752604126698065,0.014562902659500762,-0.02883613429633185,11.589769045603989,0.6115778395217937,-0.14300161857817928,0.0,False,0.0,1.0,1.0,0.0
152,0.023116573140904723,-0.006368954208833377,-0.03178735366159113,13.99569392218792,0.5563544841725137,0.7768618671266552,0.0,False,0.0,1.0,1.0,1.0
153,0.04217206113876264,-0.0043784221411547536,-0.04345652529030696,0.5314993706061226,0.08471729400222805,0.0,0.0,False,0.0,0.0,0.0,0.0
154,0.03571636092975411,-0.0394502927721424,-0.007628539267858472,3.215994367451864,0.1772082038303214,0.28087586684029303,0.0,False,0.0,0.0,0.0,0.0
155,0.03005346457439405,0.02925225195454887,-0.0029048829880190326,6.905861829639621,0.10571889101886656,1.2398516895983844,0.0,False,0.0,1.0,0.0,1.0
156,-0.06466700457734814,-0.017728195845698912,-0.0963155962128246,4.207772168724074,0.9482771297113768,-0.08081787729263694,0.0,False,0.0,0.0,1.0,0.0
157,0.0303315904797549,0.07206383187799074,0.0216491240149796,12.474010449362217,0.4281565724097908,0.0,0.0,True,0.0,1.0,1.0,0.0
158,0.08798764539062376,-0.009073640277367572,0.06513642240874072,3.2745483754218085,0.8028159799302677,-0.14778190741903166,1.0,False,1.0,0.0,1.0,0.0
159,0.1139177118897161,-0.0353476153257248,0.010364175703602879,6.466079408495076,0.16477847588765546,0.918297657009141,1.0,False,0.0,1.0,0.0,1.0
160,-0.03608033472165882,0.021464057698684737,0.011406690325390337,9.454291842664269,0.2640562622837124,0.2791990705051662,0.0,False,0.0,1.0,0.0,0.0
161,0.1131035408341441,-0.04855355200421869,0.03509191606004134,5.762161455993955,0.11032999952585244,0.4928648335708656,1.0,False,0.0,1.0,0.0,1.0
162,0.1404015233170368,-0.06003756696341722,0.027647003762000768,4.66433332847248,0.11291016061126899,0.4824829191215935,1.0,True,0.0,0.0,0.0,1.0
163,-0.02267499038378477,0.1030194505929176,-0.013337090458065349,8.273280162580335,0.7698582755191957,-0.03393179167696611,0.0,True,0.0,1.0,1.0,0.0
164,0.06974616921283007,-0.043071481116736685,-0.04993412964456318,24.84017192813259,0.7860234548354927,-0.1728128086513725,0.0,False,0.0,1.0,1.0,0.0
165,0.028953800109163406,-0.03904164618850897,0.007279243536889826,14.963263468114874,0.4180676483992581,0.9312178089016462,0.0,False,0.0,1.0,1.0,1.0
166,-0.010901055434047098,0.04178173284779898,0.003727524850559872,4.162126809343722,0.7006900440310265,0.3675031368213685,0.0,False,0.0,0.0,1.0,1.0
167,-0.003322496428304092,0.01708656555636742,0.013553139366573498,6.330023728025159,0.14373098905945988,0.5497418381577872,0.0,False,0.0,1.0,0.0,1.0
168,-0.013325025878003393,-0.014120837610667285,-0.01284279643778258,6.118220353757312,0.2548657562196707,-0.1924884446322877,0.0,False,0.0,1.0,0.0,0.0
169,0.16546751206713595,-0.00821468371406067,0.02226543807112833,7.187202590254393,0.13675390741636162,-0.02709417515953924,1.0,False,0.0,1.0,0.0,0.0
170,0.07016796586160966,-0.009492520286716507,0.0003732094074958198,1.501074902442086,0.13912828531431176,-0.14069648260124507,0.0,False,0.0,0.0,0.0,0.0
171,0.05394205395184841,-0.006641006796622029,0.020391658442491332,15.718729583072813,0.018830832575139816,0.7947758769880788,0.0,False,0.0,1.0,0.0,1.0
172,0.08254456167503581,0.007998035085437892,0.020076254584217475,1.4522002227193391,0.1877285720600868,-0.1544440383164995,1.0,False,0.0,0.0,0.0,0.0
173,-0.0048715090847337396,0.011497530581870507,-0.034970367194983684,9.77528935050166,0.7376330898728433,-0.2592842051845167,0.0,False,0.0,1.0,1.0,0.0
174,0.018333833856161403,-0.022306887798926287,0.016476533436210125,14.052449311731873,0.6171520130006786,0.0586102548557641,0.0,False,0.0,1.0,1.0,0.0
175,0.10916028182198598,-0.03713877905172256,0.024846466701048425,10.942496794226258,0.8573785154053173,-0.12766903962360115,1.0,False,0.0,1.0,1.0,0.0
176,-0.02612669354658193,-0.04507054431106683,0.003271417226481628,5.1867561713557935,0.6789337505371372,0.8046536268563338,0.0,False,0.0,1.0,1.0,1.0
177,0.06384213355263878,-0.03677527043258127,-0.02779821400594563,6.9800442144350825,0.1897130406932471,-0.02994371136761795,0.0,False,0.0,1.0,0.0,0.0
178,0.08537439219776276,0.051302983970654255,-0.00916115142404342,6.363543503171607,0.2482325243767816,0.13926514050649885,1.0,False,0.0,1.0,0.0,0.0
179,0.01744732243994599,-0.037695700260339436,-0.01346478348019464,8.417843631821999,0.9126694052010988,0.09595944737688512,0.0,False,0.0,1.0,1.0,0.0
180,0.11851385405272488,0.010481024407397066,-0.05121131871336946,2.4240690583113778,0.565808820156449,-0.16360688242898996,1.0,False,0.0,0.0,1.0,0.0
181,-0.010443178289468712,0.03747897200958955,-0.03976524805553408,4.169763854271508,0.6983099792575193,-0.14549207010515308,0.0,False,0.0,0.0,1.0,0.0
182,-0.07432113682439677,-0.017159395155736317,-0.03697296992544695,9.108362386857998,0.9168054065594596,0.06429901225229129,0.0,False,0.0,1.0,1.0,0.0
183,0.11226841208676676,0.04922338322208037,0.030875043172298205,7.67724573415942,0.7922808916872909,0.546497285169012,1.0,False,0.0,1.0,1.0,1.0
184,0.049206501329854484,5.217689160427371e-05,0.014469374907905954,5.640466004608532,0.6823228469162634,-0.07237696643064484,0.0,False,0.0,1.0,1.0,0.0
185,0.10186747930176586,0.041509416903889686,-0.0038458687246320992,14.448216350517075,0.5592880275363885,-0.022447342794494896,1.0,False,0.0,1.0,1.0,0.0
186,0.0490976838708856,0.01941624697230289,-0.03143651779029053,7.170141914446202,0.1725503591108811,-0.21265796243300586,0.0,False,0.0,1.0,0.0,0.0
187,0.09771317647868684,0.038603908208350496,0.02421224175860872,7.831113431489133,0.7928962445078348,0.0,1.0,False,0.0,1.0,1.0,0.0
188,-0.031612514465059284,-0.01666243561634011,0.03935231794294705,12.552599451740146,0.4303582171785371,0.574900869312124,0.0,False,0.0,1.0,1.0,1.0
190,0.034425303992665766,-0.002462962585772132,0.045106023004723605,1.8455449799444843,0.8163874915141085,0.5124192634728035,0.0,False,0.0,0.0,1.0,1.0
191,-0.18168568580452885,0.01999541296775958,-0.03258991285804653,5.971463047924749,0.19270082251557588,0.10081236117705678,0.0,False,0.0,1.0,0.0,0.0
192,0.20586560310908,0.01389049279640134,0.03122275166304265,0.542755899030947,0.404746556616049,0.11208423735389936,1.0,False,0.0,0.0,1.0,0.0
193,-0.14348972112469122,0.041745441721850685,-0.06819072715553766,8.905353001379465,0.8220726591579861,-0.055854122886181926,0.0,False,0.0,1.0,1.0,0.0
194,0.08469405794672395,0.03691044607660754,0.008768091574327737,5.531357687508431,0.2569483929617195,-0.01778445249505519,1.0,False,0.0,1.0,0.0,0.0
195,0.1908877114533616,0.005254353166843907,0.07731285309687021,7.440824673592322,0.2214244407053868,-0.058492301440659374,1.0,False,1.0,1.0,0.0,0.0
196,0.06933272818658336,-0.0007446059190513986,-0.01782789439440942,12.36717143707359,0.5077937331899999,-0.2556756550287168,0.0,False,0.0,1.0,1.0,0.0
197,0.10413860778528032,-0.006822742392387687,0.012516642954993428,3.5102851328200866,0.2454519347245309,0.8122878498784686,1.0,False,0.0,0.0,0.0,1.0
198,-0.0024618325258579147,0.01465952146723453,-0.013858590196822613,21.99780488867738,0.4143649820609443,0.05700849978183506,0.0,False,0.0,1.0,1.0,0.0
